lon,lat,age (Ma),Cu (Mt),source,label
-124.0322222,48.4475,50.0,0.0341939999999999,Mosier_2009,positive
-123.1438889,50.08361111,120.0,0.000286,Mosier_2009,positive
-133.595,58.73722222,270.0,,Mosier_2009,positive
-137.67,59.72666667,250.0,,Mosier_2009,positive
-66.04027778,47.6,445.0,0.009222,Mosier_2009,positive
-65.82583333,47.39666667,445.0,0.0009,Mosier_2009,positive
-65.88888889,47.47583333,445.0,0.3198,Mosier_2009,positive
-65.82,47.41027778,445.0,0.04625,Mosier_2009,positive
-66.10222222,47.42583333,445.0,,Mosier_2009,positive
-65.87722222,47.28333333,445.0,0.008395,Mosier_2009,positive
-65.88611111,47.29444444,445.0,,Mosier_2009,positive
-66.29722222,47.56138889,445.0,0.21197,Mosier_2009,positive
-66.22722222,47.09861111,445.0,0.125048,Mosier_2009,positive
-66.39916667,47.43083333,445.0,0.00546,Mosier_2009,positive
-65.85611111,47.38388889,445.0,,Mosier_2009,positive
-66.33166667,47.30222222,445.0,,Mosier_2009,positive
-65.90027778,47.44666667,445.0,,Mosier_2009,positive
-66.06138889,47.2925,445.0,0.0478,Mosier_2009,positive
-66.03694444,47.29972222,445.0,0.448662,Mosier_2009,positive
-66.06138889,47.2925,445.0,0.02114,Mosier_2009,positive
-65.69861111,47.43611111,445.0,,Mosier_2009,positive
-65.93527778,47.3875,445.0,0.000588,Mosier_2009,positive
-66.23361111,47.60666667,445.0,0.00126,Mosier_2009,positive
-66.22888889,47.4625,445.0,,Mosier_2009,positive
-66.43444444,47.52527778,445.0,0.10296,Mosier_2009,positive
-66.03055556,47.38,445.0,0.007392,Mosier_2009,positive
-66.0,47.31666667,445.0,0.00276,Mosier_2009,positive
-66.13416667,47.62972222,445.0,,Mosier_2009,positive
-65.92416667,47.45055556,445.0,0.004896,Mosier_2009,positive
-66.07222222,47.63166667,445.0,0.00078,Mosier_2009,positive
-66.22888889,47.4625,445.0,,Mosier_2009,positive
-66.10861111,47.32027778,445.0,0.008024,Mosier_2009,positive
-66.01222222,47.34805556,445.0,,Mosier_2009,positive
-66.55444444,47.50444444,445.0,0.0112529999999999,Mosier_2009,positive
-66.13166667,47.30833333,445.0,0.012036,Mosier_2009,positive
-66.12888889,47.39583333,445.0,0.03504,Mosier_2009,positive
-55.80666667,49.81166667,488.0,0.012,Mosier_2009,positive
-56.09472222,49.88111111,441.0,0.0013969999999999,Mosier_2009,positive
-56.83888889,48.64055556,470.0,,Mosier_2009,positive
-56.44638889,48.65611111,510.0,,Mosier_2009,positive
-56.86666667,48.82361111,430.0,0.11791,Mosier_2009,positive
-56.88416667,48.83194444,430.0,0.0486329999999999,Mosier_2009,positive
-56.8375,48.825,430.0,0.0362599999999999,Mosier_2009,positive
-56.91833333,48.84527778,470.0,,Mosier_2009,positive
-56.08194444,49.63916667,500.0,0.01183,Mosier_2009,positive
-56.89666667,48.625,445.0,0.009633,Mosier_2009,positive
-56.48777778,49.63444444,510.0,,Mosier_2009,positive
-56.15166667,48.33861111,500.0,,Mosier_2009,positive
-56.155,49.19694444,445.0,0.0376,Mosier_2009,positive
-56.08055556,49.28194444,445.0,0.059474,Mosier_2009,positive
-56.98527778,48.57138889,445.0,,Mosier_2009,positive
-56.18638889,49.0275,470.0,,Mosier_2009,positive
-55.93888889,49.59777778,500.0,0.04012,Mosier_2009,positive
-56.01888889,49.58888889,470.0,,Mosier_2009,positive
-55.49805556,49.455,470.0,0.011484,Mosier_2009,positive
-57.16972222,48.42527778,470.0,,Mosier_2009,positive
-55.79055556,49.53944444,470.0,0.00292,Mosier_2009,positive
-56.08055556,49.9125,441.0,,Mosier_2009,positive
-55.63277778,49.275,445.0,0.0905,Mosier_2009,positive
-55.71861111,49.50861111,471.0,0.025338,Mosier_2009,positive
-55.63,49.28,470.0,0.0828,Mosier_2009,positive
-56.06444444,49.89722222,441.0,0.0764369999999999,Mosier_2009,positive
-56.09583333,49.88055556,441.0,0.0132479999999999,Mosier_2009,positive
-56.18111111,49.56305556,470.0,0.000345,Mosier_2009,positive
-56.825,48.83666667,470.0,,Mosier_2009,positive
-56.93527778,48.70638889,470.0,,Mosier_2009,positive
-56.13972222,48.42666667,500.0,,Mosier_2009,positive
-56.22972222,49.92833333,500.0,,Mosier_2009,positive
-55.62138889,49.88361111,470.0,,Mosier_2009,positive
-55.62916667,49.88083333,470.0,,Mosier_2009,positive
-57.13,48.54,470.0,,Mosier_2009,positive
-57.20083333,48.51277778,445.0,0.00936,Mosier_2009,positive
-57.35805556,48.43194444,445.0,,Mosier_2009,positive
-56.00833333,49.59166667,500.0,0.037142,Mosier_2009,positive
-58.30138889,49.03555556,485.0,0.0057599999999999,Mosier_2009,positive
-60.4375,45.72777778,570.0,0.0089279999999999,Mosier_2009,positive
-71.91194444,45.3225,588.0,0.0162,Mosier_2009,positive
-72.10833333,45.48,500.0,0.01088,Mosier_2009,positive
-70.80888889,45.94222222,480.0,0.03675,Mosier_2009,positive
-71.31333333,45.77333333,567.0,0.078705,Mosier_2009,positive
-71.92,45.31777778,470.0,0.10795,Mosier_2009,positive
-72.32916667,45.26222222,500.0,0.01638,Mosier_2009,positive
-71.38333333,45.6575,470.0,0.00192,Mosier_2009,positive
-71.81333333,45.42638889,500.0,0.003234,Mosier_2009,positive
-70.21944444,46.5875,470.0,,Mosier_2009,positive
-71.28611111,45.80472222,544.0,0.162384,Mosier_2009,positive
-71.95888889,45.31805556,587.0,,Mosier_2009,positive
-72.67083333,45.67638889,470.0,,Mosier_2009,positive
-71.37222222,45.70388889,470.0,0.02592,Mosier_2009,positive
-131.4166667,61.88333333,390.0,0.0674879999999999,Mosier_2009,positive
-130.6083333,61.45833333,330.0,0.13,Mosier_2009,positive
-134.465,64.13916667,360.0,,Mosier_2009,positive
-79.83,22.10333333,120.0,0.009352,Mosier_2009,positive
-77.92,21.42,120.0,0.01,Mosier_2009,positive
-76.7,20.13277778,55.0,0.0075,Mosier_2009,positive
33.14583333,35.04361111,100.0,0.0241399999999999,Mosier_2009,positive
32.78777778,35.11027778,100.0,0.0002,Mosier_2009,positive
32.84305556,35.07444444,100.0,0.027,Mosier_2009,positive
33.26166667,34.98861111,100.0,0.00025,Mosier_2009,positive
33.11638889,35.03611111,100.0,0.025,Mosier_2009,positive
33.0625,35.04166667,100.0,0.01365,Mosier_2009,positive
32.51055556,35.02972222,100.0,0.011424,Mosier_2009,positive
32.49111111,35.02472222,100.0,0.0590799999999999,Mosier_2009,positive
33.34638889,34.97638889,100.0,0.006,Mosier_2009,positive
33.2475,34.79472222,100.0,0.01,Mosier_2009,positive
32.84222222,35.09944444,100.0,0.6,Mosier_2009,positive
33.2575,34.79111111,100.0,0.0692,Mosier_2009,positive
32.72583333,34.88361111,100.0,0.000684,Mosier_2009,positive
33.26861111,34.79472222,100.0,0.0052,Mosier_2009,positive
33.2425,34.79194444,100.0,0.0008,Mosier_2009,positive
