lon,lat,age (Ma),Cu (Mt),source,label
22.96487,42.8417,83.25,,Magnin_2025,positive
148.05468,-32.93042,439.2,,Magnin_2025,positive
23.169,46.116,12.81,,Magnin_2025,positive
-120.00562,49.87781,193.9,0.27255,Magnin_2025,positive
-131.09442,56.6664,195.4,0.153,Magnin_2025,positive
23.127,46.242,14.9,1.675,Magnin_2025,positive
-111.09072,33.13665,57.5,,Magnin_2025,positive
-117.05173,40.61176,88.0,0.75226,Magnin_2025,positive
-120.43472,49.44471,193.0,,Magnin_2025,positive
-120.45722,49.42471,193.0,,Magnin_2025,positive
104.3,45.9167,290.0,,Magnin_2025,positive
121.426,44.9991,166.0,,Magnin_2025,positive
-69.92,-22.53,137.0,0.7884,Magnin_2025,positive
-117.24962,40.60524,44.95,,Magnin_2025,positive
99.7,49.1833,290.0,,Magnin_2025,positive
83.828,49.5493,290.0,,Magnin_2025,positive
62.0681,29.1614,11.0,,Magnin_2025,positive
105.8025,45.5296,285.93,,Magnin_2025,positive
121.77056,0.95194,8.75,0.08784,Magnin_2025,positive
102.8167,48.7,290.0,,Magnin_2025,positive
-70.66667,-36.86667,49.95,,Magnin_2025,positive
64.4712,29.4327,19.5,,Magnin_2025,positive
-120.93502,50.51061,206.3,,Magnin_2025,positive
27.53444,41.97417,80.5,,Magnin_2025,positive
118.55069,51.50102,157.2,0.2618899,Magnin_2025,positive
126.16667,7.55,10.0,,Magnin_2025,positive
27.1531,40.3798,53.0,,Magnin_2025,positive
8.365,40.53194,27.5,0.13041,Magnin_2025,positive
152.22869,-25.86836,242.5,,Magnin_2025,positive
-72.86667,7.31667,144.0,,Magnin_2025,positive
151.25447,-24.05443,220.0,,Magnin_2025,positive
122.05,12.3,4.39,,Magnin_2025,positive
22.29955,45.56864,72.2,,Magnin_2025,positive
-124.58502,55.08251,186.9,,Magnin_2025,positive
-70.58333,-38.25,61.0,0.361782,Magnin_2025,positive
-110.32212,30.95414,59.3,35.959615529999994,Magnin_2025,positive
-79.28333,-6.08333,16.8,5.1315610000000005,Magnin_2025,positive
-79.8175,-3.48277,23.51,0.711301,Magnin_2025,positive
121.992,14.75,34.4,,Magnin_2025,positive
-69.09467,-23.07463,41.3,5.1324000000000005,Magnin_2025,positive
149.24953,-33.35331,436.5,,Magnin_2025,positive
116.61413,-30.96603,2700.0,2.832,Magnin_2025,positive
8.49639,39.17056,30.0,,Magnin_2025,positive
-111.32306,43.09306,50.0,,Magnin_2025,positive
-141.58333,62.03333,111.0,0.024,Magnin_2025,positive
-69.16667,-30.0,268.5,,Magnin_2025,positive
-111.88054,32.89725,64.5,8.526,Magnin_2025,positive
-69.52465,-28.18678,39.52,4.32,Magnin_2025,positive
-137.62002,62.4292,76.4,0.061693,Magnin_2025,positive
-138.82812,62.7378,74.7,5.1222,Magnin_2025,positive
-69.34261,-27.69143,25.38,2.822407,Magnin_2025,positive
-72.79325,19.60608,66.0,0.0829599999999999,Magnin_2025,positive
-110.9634,33.41328,59.1,4.404120000000001,Magnin_2025,positive
-125.98082,49.25641,49.0,1.2261542399999998,Magnin_2025,positive
-70.21694,45.53611,444.0,0.10008,Magnin_2025,positive
-104.8833,31.41667,36.1,0.0104,Magnin_2025,positive
41.4578,40.749,83.25,,Magnin_2025,positive
-69.16833,-23.16333,45.4,13.609522,Magnin_2025,positive
147.46,-33.64,451.4,,Magnin_2025,positive
-69.28423,-27.79025,13.89,2.62275057,Magnin_2025,positive
-82.1023,8.6603,3.6,0.348194,Magnin_2025,positive
-107.33309,26.25472,46.3,,Magnin_2025,positive
-107.71058,27.11037,54.7,,Magnin_2025,positive
-78.60583,-6.76167,13.35,0.4183845,Magnin_2025,positive
-101.02757,21.07501,30.0,0.67089,Magnin_2025,positive
-70.05,-31.95,13.0,,Magnin_2025,positive
-71.55278,-16.54583,57.0,0.371,Magnin_2025,positive
-68.0986,-24.97148,28.47,0.2,Magnin_2025,positive
-71.59167,-16.53528,58.9,17.99424,Magnin_2025,positive
39.0418,39.2726,24.9,1.6937740000000003,Magnin_2025,positive
41.4045,40.7773,83.25,,Magnin_2025,positive
110.449,42.6332,263.0,,Magnin_2025,positive
59.012,31.738,33.3,,Magnin_2025,positive
56.1833,29.5917,14.0,,Magnin_2025,positive
55.0158,30.3984,16.19,0.6113099999999999,Magnin_2025,positive
54.1833,32.95,44.95,,Magnin_2025,positive
-78.35944,-6.915,15.58,0.532,Magnin_2025,positive
103.01389,22.77407,36.0,0.085245,Magnin_2025,positive
127.00762,44.41918,182.1,,Magnin_2025,positive
98.6667,32.08,214.97,,Magnin_2025,positive
-71.35778,-16.77361,50.0,0.5133258,Magnin_2025,positive
139.34722,57.61389,78.25,,Magnin_2025,positive
-79.11667,-1.38333,20.0,,Magnin_2025,positive
-79.41667,-2.93333,9.71,1.6,Magnin_2025,positive
-75.41667,-14.23333,100.0,,Magnin_2025,positive
60.118,30.2328,33.6,0.21,Magnin_2025,positive
118.507,42.4191,257.5,0.25004,Magnin_2025,positive
115.805,29.6813,142.3,3.0675,Magnin_2025,positive
139.45556,57.61806,78.25,,Magnin_2025,positive
46.4083,38.7333,19.62,,Magnin_2025,positive
147.39855,-34.2268,436.4,,Magnin_2025,positive
-158.0,62.25,70.0,0.0130499999999999,Magnin_2025,positive
93.0235,42.164,322.0,,Magnin_2025,positive
-69.08333,-24.13333,41.8,1.44,Magnin_2025,positive
121.45,23.43333,21.5,0.0219,Magnin_2025,positive
151.617,-25.2303,242.5,0.4,Magnin_2025,positive
-108.07022,32.79262,59.5,6.425509999999999,Magnin_2025,positive
139.7679,48.8321,78.25,,Magnin_2025,positive
-123.53562,51.25001,83.25,,Magnin_2025,positive
91.90867,29.26809,21.35,,Magnin_2025,positive
90.0,29.58333,13.99,0.5000009,Magnin_2025,positive
23.272,42.624,83.25,,Magnin_2025,positive
-110.74528,33.06,63.5,0.7839,Magnin_2025,positive
-124.54532,55.26311,183.0,,Magnin_2025,positive
92.67804,29.67616,14.18,,Magnin_2025,positive
112.6039,47.3336,290.0,,Magnin_2025,positive
-68.9,-22.275,32.2,65.76402,Magnin_2025,positive
21.74255,45.04332,68.75,,Magnin_2025,positive
106.56,-7.22,15.2,,Magnin_2025,positive
22.89993,46.09536,11.35,,Magnin_2025,positive
-109.72664,44.25411,44.95,,Magnin_2025,positive
151.83,-25.6168,231.5,0.1020679999999999,Magnin_2025,positive
-80.66394,8.82983,34.5,19.27905,Magnin_2025,positive
-109.98541,29.8767,57.5,,Magnin_2025,positive
-3.93195,52.81441,477.7,0.6,Magnin_2025,positive
22.35,45.55,65.0,,Magnin_2025,positive
-124.75922,55.24921,186.9,,Magnin_2025,positive
-127.23332,53.53331,86.0,,Magnin_2025,positive
-68.70833,-20.96306,33.3,80.92158,Magnin_2025,positive
126.131,7.476,12.81,0.1372349999999999,Magnin_2025,positive
-68.73692,-21.94144,35.34,3.7584,Magnin_2025,positive
-71.76667,-14.46167,42.5,2.965,Magnin_2025,positive
-114.76694,41.76694,150.0,0.40407261,Magnin_2025,positive
-112.51111,46.01722,62.5,24.5424,Magnin_2025,positive
-68.88528,-20.90167,36.3,0.15,Magnin_2025,positive
38.5024,39.4285,44.6,0.1228,Magnin_2025,positive
-122.30279,52.61667,187.7,,Magnin_2025,positive
-112.58788,34.49064,64.0,0.9072,Magnin_2025,positive
-111.06302,33.14768,57.5,,Magnin_2025,positive
-110.48,32.75,61.4,1.9357559,Magnin_2025,positive
-107.53392,32.97032,74.9,0.67945725,Magnin_2025,positive
119.95778,-21.6575,3425.0,,Magnin_2025,positive
-120.55612,49.33941,201.6,2.1965,Magnin_2025,positive
-123.13972,51.00171,83.25,,Magnin_2025,positive
-127.26782,54.22921,48.0,,Magnin_2025,positive
-123.37082,51.03971,80.0,,Magnin_2025,positive
148.29926,-20.53922,132.0,0.056,Magnin_2025,positive
120.10833,-20.88889,3291.0,0.7884667499999999,Magnin_2025,positive
-71.2625,-14.95222,35.781,3.5447999999999995,Magnin_2025,positive
-72.34806,-14.18111,35.7,2.92656456,Magnin_2025,positive
-120.46832,50.66471,205.0,0.0063712,Magnin_2025,positive
-115.13333,35.48333,94.0,,Magnin_2025,positive
-70.70722,-17.04556,53.4,10.494385,Magnin_2025,positive
-109.645,28.38802,55.7,1.3747896,Magnin_2025,positive
147.39406,-34.21125,436.4,,Magnin_2025,positive
-78.88333,-4.01667,147.0,,Magnin_2025,positive
-109.96206,29.87046,58.7,0.17822,Magnin_2025,positive
-137.19892,62.09,58.0,,Magnin_2025,positive
148.85945,-33.23448,436.5,,Magnin_2025,positive
104.9454,49.4607,290.0,,Magnin_2025,positive
46.0429,39.9172,19.62,,Magnin_2025,positive
50.3242,34.2719,21.0,0.04,Magnin_2025,positive
124.70833,6.13333,14.18,,Magnin_2025,positive
46.8266,40.1769,135.0,,Magnin_2025,positive
93.3671,42.7314,290.0,,Magnin_2025,positive
101.934,-2.847,12.81,,Magnin_2025,positive
100.704,-1.089,3.96,,Magnin_2025,positive
57.1,29.4167,12.96,0.5187,Magnin_2025,positive
57.8583,28.75,19.62,,Magnin_2025,positive
62.594,29.071,10.9,,Magnin_2025,positive
55.4008,30.2897,14.18,,Magnin_2025,positive
55.909,29.8838,15.66,1.07388,Magnin_2025,positive
53.828,31.562,15.95,0.261,Magnin_2025,positive
105.1605,49.3224,290.0,,Magnin_2025,positive
50.4667,35.8667,37.2,,Magnin_2025,positive
64.604,29.556,31.6,1.05,Magnin_2025,positive
61.8448,29.2279,19.62,,Magnin_2025,positive
46.0148,39.3914,40.22,0.0911999999999999,Magnin_2025,positive
97.7333,48.9333,290.0,,Magnin_2025,positive
102.9419,48.7828,290.0,,Magnin_2025,positive
97.9333,48.9333,290.0,,Magnin_2025,positive
104.9423,49.4399,290.0,,Magnin_2025,positive
-120.55722,49.31421,201.6,,Magnin_2025,positive
59.275,31.126,33.6,,Magnin_2025,positive
55.9917,29.9917,30.86,,Magnin_2025,positive
92.57632,29.60734,14.18,,Magnin_2025,positive
40.4016,40.6912,49.95,,Magnin_2025,positive
27.55854,41.89334,80.94,,Magnin_2025,positive
38.447,39.414,51.9,,Magnin_2025,positive
29.639,39.886,83.25,,Magnin_2025,positive
27.4021,41.92762,76.96,0.7574000000000001,Magnin_2025,positive
41.8667,41.0833,83.25,,Magnin_2025,positive
22.87,45.87,13.3,0.14,Magnin_2025,positive
46.05747,39.00744,39.52,0.06336,Magnin_2025,positive
-131.73307,58.23444,219.15,,Magnin_2025,positive
121.4531,16.3308,24.8,0.253929,Magnin_2025,positive
27.1467,40.1366,49.3,,Magnin_2025,positive
145.0806,-17.2483,285.0,0.05,Magnin_2025,positive
22.94583,41.13889,18.0,,Magnin_2025,positive
49.25,36.5,28.59,,Magnin_2025,positive
120.33598,14.95881,2.7,0.304803,Magnin_2025,positive
21.425,43.034,15.0,,Magnin_2025,positive
45.91114,40.75277,122.75,0.41418,Magnin_2025,positive
-120.48582,50.66471,204.0,0.010203,Magnin_2025,positive
31.8937,37.8021,12.81,,Magnin_2025,positive
148.00351,-37.58761,406.25,,Magnin_2025,positive
19.95,50.11667,343.0,,Magnin_2025,positive
-75.03333,3.51667,166.0,,Magnin_2025,positive
-70.11667,-34.28333,3.419,,Magnin_2025,positive
88.38333,29.38333,14.0,2.73,Magnin_2025,positive
82.4045,44.0044,290.0,,Magnin_2025,positive
-126.16812,55.24781,51.0,0.10205,Magnin_2025,positive
-69.72167,-18.29,14.0,,Magnin_2025,positive
-109.67455,32.96149,58.0,2.70865,Magnin_2025,positive
-120.84942,50.32171,206.3,0.0511446,Magnin_2025,positive
-110.05114,32.01759,57.5,,Magnin_2025,positive
22.874,42.892,83.25,,Magnin_2025,positive
22.954,46.044,12.81,,Magnin_2025,positive
89.99865,29.55735,14.18,,Magnin_2025,positive
-120.54442,49.34671,201.6,,Magnin_2025,positive
111.0833,46.1,290.0,,Magnin_2025,positive
125.7779,50.2403,475.9,4.3746,Magnin_2025,positive
83.4,32.81667,118.0,2.6999996,Magnin_2025,positive
83.4406,32.8328,118.0,5.4,Magnin_2025,positive
97.95421,31.03908,37.5,0.9424,Magnin_2025,positive
41.7303,41.1268,83.25,,Magnin_2025,positive
47.5368,38.5484,35.0,,Magnin_2025,positive
-111.05708,31.92209,57.5,0.480816,Magnin_2025,positive
141.2488,52.6594,78.25,,Magnin_2025,positive
-124.86282,55.18421,186.9,0.1078669,Magnin_2025,positive
-110.00158,44.38268,44.95,,Magnin_2025,positive
-129.10722,58.48391,186.0,0.3034,Magnin_2025,positive
-68.8325,-21.92056,39.1,14.2071,Magnin_2025,positive
-110.20095,30.84482,60.9,,Magnin_2025,positive
-67.36667,-31.25,299.9,,Magnin_2025,positive
-109.77138,30.44958,56.8,0.024,Magnin_2025,positive
-75.95,20.14167,52.0,,Magnin_2025,positive
-110.66056,29.89,53.6,0.152776,Magnin_2025,positive
-78.31667,-7.01667,17.43,5.91294,Magnin_2025,positive
-78.95,-4.25,157.4,,Magnin_2025,positive
-68.73333,-21.11667,251.5,,Magnin_2025,positive
-66.6,-24.13333,12.5,,Magnin_2025,positive
-70.45,-31.76,8.8,14.92754,Magnin_2025,positive
-110.67355,31.20577,73.9,1.24575816,Magnin_2025,positive
-69.5506,-26.25417,41.5,18.43884,Magnin_2025,positive
-71.11,-32.65,106.0,5.2836,Magnin_2025,positive
-69.07639,-22.98778,41.44,9.4582,Magnin_2025,positive
117.377,-8.965,2.45,5.924288000000001,Magnin_2025,positive
24.033,42.7545,92.2,1.365,Magnin_2025,positive
37.46,40.77,75.9,,Magnin_2025,positive
-117.08333,40.6875,37.3,,Magnin_2025,positive
-150.02791,65.27423,89.0,,Magnin_2025,positive
-77.23306,-10.53194,61.0,1.016572,Magnin_2025,positive
-114.99944,39.26,110.0,1.6763582100000003,Magnin_2025,positive
55.0999,30.2764,8.48,,Magnin_2025,positive
38.6469,40.5631,77.2,,Magnin_2025,positive
-114.1918,35.36253,57.5,0.0126839999999999,Magnin_2025,positive
-120.17562,49.67081,166.0,,Magnin_2025,positive
148.048,-32.933,439.2,0.0283499999999999,Magnin_2025,positive
148.063,-32.928,439.2,0.0230999999999999,Magnin_2025,positive
147.993,-32.929,439.2,0.04488,Magnin_2025,positive
104.1316,49.0212,240.6,11.036,Magnin_2025,positive
113.05,48.9222,290.0,,Magnin_2025,positive
112.5167,47.3167,290.0,,Magnin_2025,positive
-69.07167,-24.265,33.7,104.37184,Magnin_2025,positive
41.5717,40.9641,80.7,,Magnin_2025,positive
38.6349,40.5955,49.95,,Magnin_2025,positive
151.709,-5.176,25.0,,Magnin_2025,positive
-69.05833,-22.96667,41.8,3.084,Magnin_2025,positive
-111.13458,31.87047,56.2,6.650279999999999,Magnin_2025,positive
147.42523,-33.84116,436.5,,Magnin_2025,positive
-149.2571,67.6587,388.0,,Magnin_2025,positive
25.19222,39.81167,19.5,,Magnin_2025,positive
-125.09472,55.20441,186.9,,Magnin_2025,positive
120.78333,16.85833,1.49,4.4585,Magnin_2025,positive
-120.35172,50.58441,204.0,,Magnin_2025,positive
156.0874,-6.87055,3.96,,Magnin_2025,positive
115.449,29.8189,144.0,0.3989999999999999,Magnin_2025,positive
149.11456,-33.4823,436.5,,Magnin_2025,positive
-79.33333,-3.58333,9.6,0.107,Magnin_2025,positive
-66.21667,-27.38333,5.0,0.6,Magnin_2025,positive
-117.21667,40.41667,89.5,,Magnin_2025,positive
-123.62562,51.46361,77.2,2.4252,Magnin_2025,positive
-110.73699,31.39978,57.5,0.124178,Magnin_2025,positive
-120.54892,49.33171,201.6,,Magnin_2025,positive
-120.56062,49.30001,201.6,,Magnin_2025,positive
141.78333,-4.7,12.5,13.051899999999998,Magnin_2025,positive
148.84221,-34.27572,426.3,,Magnin_2025,positive
117.75611,28.99806,172.0,2.499977,Magnin_2025,positive
122.0,52.67,148.7,,Magnin_2025,positive
92.3229,42.0854,330.0,,Magnin_2025,positive
-120.45832,49.48611,204.0,,Magnin_2025,positive
-79.68333,-3.05,20.6,0.3207599999999999,Magnin_2025,positive
